query_gene	BiGG_gene	score	gene	protein	reaction	model
	iCN718.ABAYE_RS01830		G_ABAYE_RS01830	P_ABAYE_RS01830	R_HCO3E	iCN718
	iCN718.ABAYE_RS14015		G_ABAYE_RS14015	P_ABAYE_RS14015	R_HCO3E	iCN718
	iCN718.ABAYE_RS07335		G_ABAYE_RS07335	P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS08505+ABAYE_RS08510	R_CYTBD	iCN718
	iCN718.ABAYE_RS07335		G_ABAYE_RS07335	P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS11260+ABAYE_RS11265	R_CYTBD	iCN718
	iCN718.ABAYE_RS07335		G_ABAYE_RS07335	P_ABAYE_RS07335	R_HEMEOS	iCN718
	iCN718.ABAYE_RS07340		G_ABAYE_RS07340	P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS08505+ABAYE_RS08510	R_CYTBD	iCN718
	iCN718.ABAYE_RS07340		G_ABAYE_RS07340	P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS11260+ABAYE_RS11265	R_CYTBD	iCN718
	iCN718.ABAYE_RS07345		G_ABAYE_RS07345	P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS08505+ABAYE_RS08510	R_CYTBD	iCN718
	iCN718.ABAYE_RS07345		G_ABAYE_RS07345	P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS11260+ABAYE_RS11265	R_CYTBD	iCN718
	iCN718.ABAYE_RS07350		G_ABAYE_RS07350	P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS08505+ABAYE_RS08510	R_CYTBD	iCN718
	iCN718.ABAYE_RS07350		G_ABAYE_RS07350	P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS11260+ABAYE_RS11265	R_CYTBD	iCN718
	iCN718.ABAYE_RS07355		G_ABAYE_RS07355	P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS08505+ABAYE_RS08510	R_CYTBD	iCN718
	iCN718.ABAYE_RS07355		G_ABAYE_RS07355	P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS11260+ABAYE_RS11265	R_CYTBD	iCN718
	iCN718.ABAYE_RS08505		G_ABAYE_RS08505	P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS08505+ABAYE_RS08510	R_CYTBD	iCN718
