reaction	GPR	score	normalized_score
R_1P2CBXLCYCL	spontaneous	0.0	0.0
R_3HAD80	WP_014949559.1	356.0	0.6
R_5DOAN	WP_014950548.1	455.0	0.8
R_AADSACYCL	spontaneous	0.0	0.0
R_AALDCDLsi	spontaneous	0.0	0.0
R_ACALDt	spontaneous	0.0	0.0
R_ACALDtpp	spontaneous	0.0	0.0
R_ACCOAC	((WP_014948567.1 and WP_014999996.1) or WP_014948567.1 or WP_014949945.1 or WP_039221534.1)	377.25	0.7
R_ACGAptspp	WP_061485436.1	69.25	0.1
R_ACGK	WP_039231060.1	527.0	0.9
R_ACGS	WP_014975490.1	847.0	1.5
R_ACHBS	WP_039225051.1	569.0	1.0
R_ACKr	WP_014948987.1	733.0	1.3
R_ACLS	WP_039225051.1	569.0	1.0
R_ACMUMptspp	WP_061485436.1	69.25	0.1
R_ACOAD1f	WP_014976690.1	1620.0	2.8
R_ACOAD2	WP_014976690.1	1620.0	2.8
R_ACOAD2f	WP_014976690.1	1620.0	2.8
R_ACOAD3	WP_014976690.1	1620.0	2.8
R_ACOAD3f	WP_014976690.1	1620.0	2.8
R_ACOAD4	WP_014976690.1	1620.0	2.8
R_ACOAD4f	WP_014976690.1	1620.0	2.8
R_ACOAD5	WP_014976690.1	1620.0	2.8
R_ACOAD5f	WP_014976690.1	1620.0	2.8
R_ACOAD6	WP_014976690.1	1620.0	2.8
R_ACOAD6f	WP_014976690.1	1620.0	2.8
R_ACOAD7	WP_014976690.1	1620.0	2.8
R_ACOAD7f	WP_014976690.1	1620.0	2.8
R_ACOAD8f	WP_014976690.1	1620.0	2.8
R_ACOTA	WP_014978113.1	806.0	1.4
R_ACS	WP_014977484.1	1313.0	2.3
R_ADA	WP_061486346.1	570.0	1.0
R_ADCL	WP_014949216.1	466.0	0.8
R_AGM3PA	WP_061486394.1	361.0	0.6
R_AGM4PA	WP_061486394.1	361.0	0.6
R_AGPR	WP_061486910.1	652.0	1.1
R_AHCYSNS	WP_014950548.1	455.0	0.8
R_AHCi	WP_061486512.1	734.0	1.3
R_AICART	WP_061487019.1	1041.0	1.8
R_AIRC2	WP_061439282.1	729.0	1.3
R_AIRC3	WP_014948098.1	298.0	0.5
R_AKGDH	WP_014950394.1	307.0	0.5
R_ALAALAabcpp	WP_014948676.1	103.2	0.2
R_ALLTAMH	WP_061485543.1	820.0	1.4
R_AM3PA	WP_061486394.1	361.0	0.6
R_AM4PA	WP_061486394.1	361.0	0.6
R_AMMQLT8	WP_061486661.1	525.0	0.9
R_AMMQT8_2	WP_061486661.1	525.0	0.9
R_AMPTASECG	WP_061486181.1	733.0	1.3
R_ANPRT	WP_014948943.1	654.0	1.1
R_ANS	WP_014948943.1	327.0	0.6
R_AOBUTDs	spontaneous	0.0	0.0
R_AOXHEXCYCL	spontaneous	0.0	0.0
R_AP4AH	WP_061439572.1	511.0	0.9
R_APRAUR	WP_061486145.1	736.0	1.3
R_ARGDC	WP_014951242.1	1268.0	2.2
R_ARGDCpp	WP_014951242.1	1268.0	2.2
R_ARGt3pp	WP_014975330.1	385.0	0.7
R_ASNN	WP_061485799.1	659.0	1.1
R_ASNS1	WP_014948790.1	1141.0	2.0
R_ASPK	WP_014948303.1	856.0	1.5
R_ASPO3	WP_061486150.1	1104.0	1.9
R_ASPO4	WP_061486150.1	1104.0	1.9
R_ASPO5	WP_061486150.1	1104.0	1.9
R_ASPO6	WP_061486150.1	1104.0	1.9
R_ATPHs	spontaneous	0.0	0.0
R_ATPS4rpp	((WP_012520217.1 and WP_014951452.1 and WP_039221268.1) or (WP_014951448.1 and WP_014951450.1 and WP_014951452.1 and WP_039221268.1) or (WP_014951451.1 and WP_014951452.1 and WP_039221268.1) or WP_012520217.1 or WP_014951452.1 or WP_039221268.1)	290.875	0.5
R_BPNT	WP_014975999.1	515.0	0.9
R_BZt	spontaneous	0.0	0.0
R_CBMD	spontaneous	0.0	0.0
R_CBPS	WP_061485378.1	2067.0	3.6
R_CGLYabcpp	WP_014948676.1	103.2	0.2
R_CHORS	WP_014948759.1	724.0	1.3
R_CMCBTFexs	spontaneous	0.0	0.0
R_CO2t	spontaneous	0.0	0.0
R_CO2tex	spontaneous	0.0	0.0
R_CO2tpp	spontaneous	0.0	0.0
R_COt_1	spontaneous	0.0	0.0
R_CPGNexs	spontaneous	0.0	0.0
R_CS	WP_014949444.1	862.0	1.5
R_CTPS2	WP_014978516.1	1061.0	1.8
R_CYANSTpp	WP_014950551.1	255.0	0.4
R_CYSDSF	WP_061486181.1	733.0	1.3
R_CYSS	WP_061485961.1	614.0	1.1
R_CYTBD2pp	(WP_061486755.1 and WP_061486756.1)	879.0	1.5
R_CYTBDpp	(WP_061486755.1 and WP_061486756.1)	879.0	1.5
R_CYTBO3_4pp	(WP_012520077.1 or WP_061486797.1)	103.5	0.2
R_CYTK1	WP_014976668.1	431.0	0.7
R_CYTK2	WP_014976668.1	431.0	0.7
R_Cotpp	spontaneous	0.0	0.0
R_DADA	WP_061486346.1	570.0	1.0
R_DASYN120	WP_014948557.1	572.0	1.0
R_DASYN140	WP_014948557.1	572.0	1.0
R_DASYN141	WP_014948557.1	572.0	1.0
R_DASYN160	WP_014948557.1	572.0	1.0
R_DASYN161	WP_014948557.1	572.0	1.0
R_DASYN180	WP_014948557.1	572.0	1.0
R_DASYN181	WP_014948557.1	572.0	1.0
R_DATPHs	spontaneous	0.0	0.0
R_DBTS	WP_061485299.1	474.0	0.8
R_DGK1	WP_061438956.1	410.0	0.7
R_DHBSZ3FEexs	spontaneous	0.0	0.0
R_DHDPRy	WP_014976121.1	512.0	0.9
R_DHDPS	WP_061485944.1	566.0	1.0
R_DHFS	WP_061486084.1	844.0	1.5
R_DHGLYH	spontaneous	0.0	0.0
R_DHNCOAT	WP_014948865.1	261.0	0.5
R_DHNPA2r	WP_014948271.1	211.0	0.4
R_DHORD2	WP_061485906.1	657.0	1.1
R_DHORD5	WP_061485906.1	657.0	1.1
R_DHORTS	WP_014951053.1	697.0	1.2
R_DHPPDA2	WP_061486145.1	736.0	1.3
R_DHPS2	WP_061485809.1	488.0	0.8
R_DHPTDCs	spontaneous	0.0	0.0
R_DHPTDCs2	spontaneous	0.0	0.0
R_DMATT	WP_061486143.1	558.0	1.0
R_DMPPS	WP_014977011.1	615.0	1.1
R_DNTPPA	(WP_061485244.1 or WP_061486402.1)	298.0	0.5
R_DURIK1	WP_014950261.1	376.0	0.7
R_E4PD	WP_014948384.1	664.0	1.2
R_EDA	WP_014949849.1	419.0	0.7
R_EDD	WP_014949851.1	1202.0	2.1
R_ETOHtrpp	spontaneous	0.0	0.0
R_FA120ACPHi	WP_061486081.1	358.0	0.6
R_FA141ACPHi	WP_061486081.1	358.0	0.6
R_FA161ACPHi	WP_061486081.1	358.0	0.6
R_FA80ACPHi	WP_061486081.1	358.0	0.6
R_FACOAE100	WP_014949536.1	563.0	1.0
R_FACOAE120	WP_014949536.1	563.0	1.0
