protein	reaction	model	GPR	score
P_100	R_ADA	iAT_PLT_636		0.0
P_100	R_DADA	iAT_PLT_636		0.0
P_100043349	R_GAPD	iMM1415		0.0
P_100678	R_PSP_L	iMM1415		0.0
P_100689028	R_DHFR	iCHOv1		0.0
P_100689028	R_FOLR2	iCHOv1		0.0
P_100689060	R_ADSL1r	iCHOv1		0.0
P_100689060	R_ADSL2r	iCHOv1		0.0
P_100689064	R_GLXO1	iCHOv1		0.0
P_100689064	R_HPYRRx	iCHOv1		0.0
P_100689064	R_LDH_L	iCHOv1		0.0
P_100689064+100770347	R_LDH_L	iCHOv1		0.0
P_100689101	R_CTPS2	iCHOv1		0.0
P_100689102+100753846	R_FEROc	iCHOv1		0.0
P_100689102+100764157	R_FEROc	iCHOv1		0.0
P_100689106	R_ALCD2y	iCHOv1		0.0
P_100689106	R_ALR2	iCHOv1		0.0
P_100689106	R_ALR3	iCHOv1		0.0
P_100689106	R_PPDOy	iCHOv1		0.0
P_100689176	R_ARGt5r	iCHOv1		0.0
P_100689176	R_LYSt5r	iCHOv1		0.0
P_100689176	R_ORNt	iCHOv1		0.0
P_100689188	R_ALAt4	iCHOv1		0.0
P_100689188	R_ASNt4	iCHOv1		0.0
P_100689188	R_GLYt4	iCHOv1		0.0
P_100689188	R_PROt4	iCHOv1		0.0
P_100689193	R_PDE1	iCHOv1		0.0
P_100689193	R_PDE4	iCHOv1		0.0
P_100689207	R_FA120ACPHi	iCHOv1		0.0
P_100689207	R_FA141ACPHi	iCHOv1		0.0
P_100689207	R_FA161ACPHi	iCHOv1		0.0
P_100689207	R_KAS8	iCHOv1		0.0
P_100689207	R_MCOATA	iCHOv1		0.0
P_100689210	R_G6PDA	iCHOv1		0.0
P_100689225	R_ACCOAC	iCHOv1		0.0
P_100689225+100753124	R_ACCOAC	iCHOv1		0.0
P_100689232	R_ASPCT	iCHOv1		0.0
P_100689232	R_CBPS	iCHOv1		0.0
P_100689232	R_DHORTS	iCHOv1		0.0
P_100689250	R_CYTD	iCHOv1		0.0
P_100689250	R_DCYTD	iCHOv1		0.0
P_100689285	R_DURIK1	iCHOv1		0.0
P_100689285	R_TMDK1	iCHOv1		0.0
P_100689315+100760403	R_ARGORNt7	iCHOv1		0.0
P_100689318	R_ALCD19y	iCHOv1		0.0
P_100689318	R_ARABR	iCHOv1		0.0
P_100689318	R_PPDOy	iCHOv1		0.0
P_100689320	R_NAt3_1	iCHOv1		0.0
P_100689325	R_GALUi	iCHOv1		0.0
P_100689344	R_TALA	iCHOv1		0.0
P_100689398	R_IMPD	iCHOv1		0.0
P_100689427	R_PTRCAT1	iCHOv1		0.0
P_100689446	R_GARFT	iCHOv1		0.0
P_100689446	R_PRAGSr	iCHOv1		0.0
P_100689446	R_PRAIS	iCHOv1		0.0
P_100689450	R_AMANK	iCHOv1		0.0
P_100689450	R_UAG2EMA	iCHOv1		0.0
P_100689467	R_PGK	iCHOv1		0.0
P_100689468	R_PGI	iCHOv1		0.0
P_100689469	R_G6PDH2r	iCHOv1		0.0
P_100705+107476	R_ACCOAC	iMM1415		0.0
P_100736551	R_ADNK1	iCHOv1		0.0
P_100736551	R_DADNK	iCHOv1		0.0
P_100736557	R_GAPD	iCHOv1		0.0
P_100750420	R_PDE1	iCHOv1		0.0
P_100750420	R_PDE4	iCHOv1		0.0
P_100750437	R_INSTt2	iCHOv1		0.0
P_100750501	R_GUACYC	iCHOv1		0.0
P_100750518	R_DNADDP	iCHOv1		0.0
P_100750518	R_NADDP	iCHOv1		0.0
P_100750530+100752019	R_GLUCYS	iCHOv1		0.0
P_100750547	R_ASPTA	iCHOv1		0.0
P_100750547	R_PHETA1	iCHOv1		0.0
P_100750547	R_TYRTA	iCHOv1		0.0
P_100750577	R_XYLK	iCHOv1		0.0
P_100750667	R_GTPCI	iCHOv1		0.0
P_100750675	R_DRPA	iCHOv1		0.0
P_100750727	R_ARGN	iCHOv1		0.0
P_100750756	R_PTHPS	iCHOv1		0.0
P_100750886	R_H2Ot	iCHOv1		0.0
P_100750893	R_AACOAT	iCHOv1		0.0
P_100750893	R_ACS	iCHOv1		0.0
P_100750893	R_ACS2	iCHOv1		0.0
P_100750895	R_AICART	iCHOv1		0.0
P_100750895	R_IMPC	iCHOv1		0.0
P_100750969	R_AHCi	iCHOv1		0.0
P_100750969	R_SEAHCYSHYD	iCHOv1		0.0
P_100751104	R_DNADDP	iCHOv1		0.0
P_100751104	R_NADDP	iCHOv1		0.0
P_100751194	R_ALAt4	iCHOv1		0.0
P_100751194	R_ASNt4	iCHOv1		0.0
P_100751194	R_GLYt4	iCHOv1		0.0
P_100751196	R_ALKP	iCHOv1		0.0
P_100751202	R_PYDAMK	iCHOv1		0.0
P_100751202	R_PYDXK	iCHOv1		0.0
P_100751202	R_PYDXNK	iCHOv1		0.0
P_100751272	R_ALR2	iCHOv1		0.0
P_100751272	R_ALR3	iCHOv1		0.0
